concept_group	n_records_72h	n_stays_with_any_record_72h	source_table	n_records_0_24h	n_records_0_48h	n_records_0_72h
pain	355	214	nurseassessment	161	273	355
skin_braden_pressure	34914	2511	nurseassessment	17461	28033	34914
delirium_orientation	14087	2222	nurseassessment	6615	11064	14087
mobility_turning	9023	2047	nurseassessment	4278	7086	9023
moisture_hygiene	3791	1376	nurseassessment	1721	2941	3791
nutrition	3540	1472	nurseassessment	1565	2726	3540
oral_suction_airway	5324	1898	nurseassessment	2214	4060	5324
pain	445	222	nurseassessment	223	337	445
skin_braden_pressure	33162	2338	nurseassessment	15023	25926	33162
delirium_orientation	13774	2209	nurseassessment	6569	10999	13774
mobility_turning	8985	2076	nurseassessment	4177	7026	8985
moisture_hygiene	3756	1374	nurseassessment	1740	2921	3756
nutrition	3469	1490	nurseassessment	1567	2650	3469
oral_suction_airway	5422	1943	nurseassessment	2330	4126	5422
pain	413	228	nurseassessment	204	320	413
skin_braden_pressure	33594	2393	nurseassessment	15665	26562	33594
delirium_orientation	13512	2207	nurseassessment	6242	10661	13512
mobility_turning	8872	2001	nurseassessment	4063	6978	8872
moisture_hygiene	3839	1409	nurseassessment	1719	2983	3839
nutrition	3589	1500	nurseassessment	1600	2762	3589
oral_suction_airway	5140	1891	nurseassessment	2229	3936	5140
pain	468	240	nurseassessment	207	345	468
skin_braden_pressure	33430	2377	nurseassessment	15426	26199	33430
delirium_orientation	14117	2219	nurseassessment	6706	11246	14117
mobility_turning	8698	2028	nurseassessment	4039	6866	8698
moisture_hygiene	3689	1398	nurseassessment	1668	2936	3689
nutrition	3401	1488	nurseassessment	1540	2676	3401
oral_suction_airway	5345	1878	nurseassessment	2335	4064	5345
pain	430	223	nurseassessment	201	319	430
skin_braden_pressure	32789	2390	nurseassessment	15642	25895	32789
delirium_orientation	14361	2213	nurseassessment	6753	11390	14361
mobility_turning	8781	2005	nurseassessment	3962	6754	8781
moisture_hygiene	3654	1339	nurseassessment	1642	2758	3654
nutrition	3425	1446	nurseassessment	1488	2585	3425
oral_suction_airway	5365	1862	nurseassessment	2163	4053	5365
pain	453	230	nurseassessment	207	349	453
skin_braden_pressure	33558	2367	nurseassessment	15705	26610	33558
delirium_orientation	13988	2144	nurseassessment	6601	11104	13988
mobility_turning	8745	2012	nurseassessment	4000	6840	8745
moisture_hygiene	3862	1399	nurseassessment	1667	2939	3862
nutrition	3563	1515	nurseassessment	1510	2688	3563
oral_suction_airway	5503	1911	nurseassessment	2263	4142	5503
pain	439	234	nurseassessment	196	333	439
skin_braden_pressure	32769	2363	nurseassessment	15226	25589	32769
delirium_orientation	14120	2200	nurseassessment	6758	11289	14120
mobility_turning	8936	2016	nurseassessment	4136	7040	8936
moisture_hygiene	3749	1395	nurseassessment	1681	2940	3749
nutrition	3496	1509	nurseassessment	1543	2742	3496
oral_suction_airway	5387	1894	nurseassessment	2293	4018	5387
pain	414	217	nurseassessment	185	304	414
skin_braden_pressure	32970	2367	nurseassessment	15383	26191	32970
delirium_orientation	14684	2633	nurseassessment	7275	11887	14684
mobility_turning	9322	2430	nurseassessment	4707	7491	9322
moisture_hygiene	4270	1661	nurseassessment	2045	3348	4270
nutrition	3894	1774	nurseassessment	1854	3075	3894
oral_suction_airway	5570	2160	nurseassessment	2478	4300	5570
pain	416	244	nurseassessment	202	319	416
skin_braden_pressure	35487	2911	nurseassessment	17567	28189	35487
delirium_orientation	9571	719	nurseassessment	5625	8109	9571
mobility_turning	7042	698	nurseassessment	4002	5936	7042
moisture_hygiene	3679	582	nurseassessment	1937	3019	3679
nutrition	3083	645	nurseassessment	1657	2554	3083
oral_suction_airway	3999	692	nurseassessment	2142	3259	3999
pain	197	83	nurseassessment	120	165	197
skin_braden_pressure	29415	728	nurseassessment	16652	24598	29415
mobility_turning	45114	994	nursecare	21769	35822	45114
moisture_hygiene	6336	844	nursecare	2964	5005	6336
nutrition	8274	970	nursecare	3972	6560	8274
oral_suction_airway	5475	713	nursecare	2433	4180	5475
pain	177	39	nursecare	75	138	177
restraints	5786	100	nursecare	2544	4361	5786
skin_braden_pressure	1702	479	nursecare	756	1283	1702
mobility_turning	45465	987	nursecare	21763	36134	45465
moisture_hygiene	6337	846	nursecare	3090	5092	6337
nutrition	8244	978	nursecare	3862	6534	8244
oral_suction_airway	5447	715	nursecare	2484	4181	5447
pain	135	39	nursecare	54	112	135
restraints	5001	98	nursecare	2081	4101	5001
skin_braden_pressure	1678	492	nursecare	765	1329	1678
mobility_turning	47602	1211	nursecare	22691	37784	47602
moisture_hygiene	7349	1045	nursecare	3371	5770	7349
nutrition	8769	1194	nursecare	4181	6977	8769
oral_suction_airway	5789	852	nursecare	2677	4442	5789
pain	160	59	nursecare	63	120	160
restraints	6497	141	nursecare	2851	5055	6497
skin_braden_pressure	1993	592	nursecare	852	1495	1993
mobility_turning	52420	2836	nursecare	24547	41143	52420
moisture_hygiene	17773	2147	nursecare	8508	14177	17773
nutrition	8993	2204	nursecare	4540	7277	8993
oral_suction_airway	7069	1723	nursecare	3194	5490	7069
pain	1260	279	nursecare	510	934	1260
restraints	31791	523	nursecare	13083	23422	31791
skin_braden_pressure	8136	1711	nursecare	3637	6295	8136
mobility_turning	53993	2568	nursecare	23433	41332	53993
moisture_hygiene	16667	2329	nursecare	7381	12768	16667
nutrition	10271	2406	nursecare	4539	7933	10271
oral_suction_airway	7667	1933	nursecare	3273	5845	7667
pain	721	285	nursecare	300	532	721
restraints	22706	578	nursecare	9333	16828	22706
skin_braden_pressure	8037	1979	nursecare	3499	6104	8037
mobility_turning	54266	2578	nursecare	23719	41713	54266
moisture_hygiene	16642	2360	nursecare	7469	12865	16642
nutrition	10081	2391	nursecare	4465	7817	10081
oral_suction_airway	7640	1963	nursecare	3361	5857	7640
pain	743	301	nursecare	315	564	743
restraints	23541	599	nursecare	10187	17813	23541
skin_braden_pressure	8122	1993	nursecare	3658	6239	8122
mobility_turning	54116	2576	nursecare	23727	41719	54116
moisture_hygiene	16477	2359	nursecare	7152	12691	16477
nutrition	10027	2404	nursecare	4402	7744	10027
oral_suction_airway	7473	1919	nursecare	3127	5662	7473
pain	745	294	nursecare	333	575	745
restraints	23199	593	nursecare	10216	17797	23199
skin_braden_pressure	7991	1991	nursecare	3541	6147	7991
mobility_turning	66557	3041	nursecare	33282	53726	66557
moisture_hygiene	18608	2302	nursecare	9278	15103	18608
nutrition	11835	2370	nursecare	6022	9627	11835
oral_suction_airway	8124	1833	nursecare	3942	6505	8124
pain	804	225	nursecare	375	650	804
restraints	33148	538	nursecare	16000	26611	33148
skin_braden_pressure	6915	1755	nursecare	3370	5563	6915
mobility_turning	22852	727	nursecare	11863	18926	22852
moisture_hygiene	6106	657	nursecare	3289	5067	6106
nutrition	3946	681	nursecare	2134	3287	3946
oral_suction_airway	2641	473	nursecare	1407	2174	2641
pain	252	61	nursecare	122	207	252
restraints	11504	140	nursecare	5590	9536	11504
skin_braden_pressure	1999	391	nursecare	1026	1649	1999
delirium_orientation	2559	193	nursecharting	1275	2081	2559
glucose_check	163	17	nursecharting	64	123	163
pain	12515	287	nursecharting	5511	9561	12515
restraints	1220	169	nursecharting	243	723	1220
vitals	54989	294	nursecharting	29550	45456	54989
delirium_orientation	3056	212	nursecharting	1551	2433	3056
glucose_check	346	23	nursecharting	164	281	346
pain	13461	293	nursecharting	5945	10284	13461
restraints	1171	165	nursecharting	206	684	1171
vitals	61554	298	nursecharting	31995	50244	61554
delirium_orientation	2412	190	nursecharting	1149	1913	2412
glucose_check	106	15	nursecharting	69	90	106
pain	10569	252	nursecharting	4677	8043	10569
restraints	1102	137	nursecharting	218	673	1102
vitals	51544	255	nursecharting	26439	41109	51544
delirium_orientation	2663	206	nursecharting	1244	2065	2663
glucose_check	244	21	nursecharting	115	195	244
pain	12281	267	nursecharting	5351	9347	12281
restraints	1189	155	nursecharting	268	710	1189
vitals	56481	271	nursecharting	28278	44417	56481
delirium_orientation	2880	223	nursecharting	1384	2227	2880
glucose_check	227	19	nursecharting	101	167	227
pain	13505	306	nursecharting	5887	10256	13505
restraints	1351	174	nursecharting	283	754	1351
vitals	67997	315	nursecharting	35097	54912	67997
delirium_orientation	2995	203	nursecharting	1467	2366	2995
glucose_check	158	13	nursecharting	99	133	158
pain	13262	301	nursecharting	5750	10003	13262
restraints	1173	167	nursecharting	229	658	1173
vitals	60584	307	nursecharting	32319	49404	60584
delirium_orientation	2744	220	nursecharting	1349	2173	2744
glucose_check	97	14	nursecharting	50	79	97
pain	14236	319	nursecharting	6261	10921	14236
restraints	1305	185	nursecharting	264	783	1305
vitals	63955	327	nursecharting	33400	52492	63955
delirium_orientation	3024	216	nursecharting	1497	2457	3024
glucose_check	163	13	nursecharting	78	136	163
pain	14015	318	nursecharting	6163	10733	14015
restraints	1374	191	nursecharting	281	817	1374
vitals	64202	328	nursecharting	34085	52135	64202
delirium_orientation	2998	201	nursecharting	1411	2319	2998
glucose_check	168	18	nursecharting	83	142	168
pain	12489	270	nursecharting	5327	9208	12489
restraints	1281	162	nursecharting	214	693	1281
vitals	59616	272	nursecharting	30402	47815	59616
delirium_orientation	3267	225	nursecharting	1545	2553	3267
glucose_check	245	18	nursecharting	108	191	245
pain	13808	308	nursecharting	5904	10388	13808
restraints	1231	168	nursecharting	180	636	1231
vitals	66833	314	nursecharting	34305	53925	66833
delirium_orientation	2323	172	nursecharting	1131	1830	2323
glucose_check	132	15	nursecharting	64	97	132
pain	11263	252	nursecharting	4811	8435	11263
restraints	997	137	nursecharting	199	562	997
vitals	52255	258	nursecharting	25925	41522	52255
delirium_orientation	2933	209	nursecharting	1427	2319	2933
glucose_check	252	23	nursecharting	126	196	252
pain	13233	292	nursecharting	5857	10108	13233
restraints	911	154	nursecharting	179	510	911
vitals	65704	293	nursecharting	32195	52977	65704
delirium_orientation	3073	221	nursecharting	1445	2430	3073
glucose_check	223	19	nursecharting	109	183	223
pain	13618	290	nursecharting	5924	10228	13618
restraints	1180	158	nursecharting	225	632	1180
vitals	66461	294	nursecharting	33775	53515	66461
delirium_orientation	2606	186	nursecharting	1286	2035	2606
glucose_check	155	14	nursecharting	93	132	155
pain	11760	271	nursecharting	5121	8933	11760
restraints	956	137	nursecharting	141	497	956
vitals	56473	278	nursecharting	29146	45281	56473
delirium_orientation	3212	223	nursecharting	1481	2519	3212
glucose_check	246	23	nursecharting	119	196	246
pain	13266	293	nursecharting	5592	9958	13266
restraints	1046	162	nursecharting	183	541	1046
vitals	63683	298	nursecharting	31994	51335	63683
delirium_orientation	2870	202	nursecharting	1456	2277	2870
glucose_check	219	19	nursecharting	118	174	219
pain	13116	289	nursecharting	5801	10043	13116
restraints	1165	166	nursecharting	194	649	1165
vitals	58545	292	nursecharting	31637	47566	58545
delirium_orientation	2684	187	nursecharting	1323	2121	2684
glucose_check	131	12	nursecharting	62	103	131
pain	11858	262	nursecharting	5019	8911	11858
restraints	1119	148	nursecharting	147	594	1119
vitals	56224	270	nursecharting	29916	45729	56224
delirium_orientation	2675	207	nursecharting	1273	2090	2675
glucose_check	122	14	nursecharting	60	86	122
pain	13093	304	nursecharting	5920	9972	13093
restraints	1190	160	nursecharting	216	680	1190
vitals	63071	311	nursecharting	34177	51686	63071
delirium_orientation	1562	221	nursecharting	803	1271	1562
glucose_check	775	80	nursecharting	311	548	775
pain	792	21	nursecharting	409	593	792
rass_sedation	2502	76	nursecharting	1288	2018	2502
restraints	71	10	nursecharting	9	49	71
skin_braden_pressure	103	36	nursecharting	56	90	103
vitals	86409	978	nursecharting	48872	72802	86409
delirium_orientation	404	57	nursecharting	216	334	404
glucose_check	4064	222	nursecharting	1923	3128	4064
rass_sedation	698	25	nursecharting	406	574	698
skin_braden_pressure	258	56	nursecharting	120	192	258
vitals	80801	769	nursecharting	40287	64424	80801
glucose_check	5611	301	nursecharting	2467	4208	5611
skin_braden_pressure	388	61	nursecharting	198	325	388
vitals	80227	677	nursecharting	37811	62480	80227
glucose_check	5215	283	nursecharting	2227	3898	5215
skin_braden_pressure	402	58	nursecharting	178	309	402
vitals	83008	624	nursecharting	37938	63563	83008
glucose_check	5200	284	nursecharting	2344	3895	5200
skin_braden_pressure	262	50	nursecharting	142	217	262
vitals	83515	650	nursecharting	38597	64122	83515
delirium_orientation	1973	119	nursecharting	1078	1606	1973
glucose_check	3203	253	nursecharting	1511	2465	3203
pain	9059	224	nursecharting	4536	7346	9059
rass_sedation	5526	139	nursecharting	2810	4357	5526
skin_braden_pressure	202	33	nursecharting	83	157	202
vitals	80726	673	nursecharting	40938	64385	80726
delirium_orientation	5337	277	nursecharting	2806	4409	5337
glucose_check	830	204	nursecharting	500	717	830
pain	15634	449	nursecharting	7935	13008	15634
rass_sedation	13128	318	nursecharting	6203	10699	13128
vitals	78871	690	nursecharting	41958	65824	78871
delirium_orientation	6264	321	nursecharting	3794	5343	6264
glucose_check	722	211	nursecharting	421	614	722
pain	17212	486	nursecharting	8967	14315	17212
rass_sedation	12210	335	nursecharting	6221	9976	12210
vitals	76752	713	nursecharting	41551	64097	76752
delirium_orientation	4153	268	nursecharting	2376	3564	4153
glucose_check	628	182	nursecharting	398	561	628
pain	14001	428	nursecharting	7519	11717	14001
rass_sedation	10918	296	nursecharting	5398	8796	10918
vitals	68912	645	nursecharting	37251	57485	68912
delirium_orientation	2536	129	nursecharting	1345	2058	2536
glucose_check	1655	232	nursecharting	908	1345	1655
pain	7831	214	nursecharting	4027	6384	7831
rass_sedation	7176	167	nursecharting	3601	5709	7176
skin_braden_pressure	1	1	nursecharting	1	1	1
vitals	75380	582	nursecharting	42603	63146	75380
glucose_check	3867	334	nursecharting	2095	3209	3867
skin_braden_pressure	2	2	nursecharting	1	1	2
vitals	102672	657	nursecharting	61941	87543	102672
glucose_check	3667	354	nursecharting	2070	3089	3667
pain	1	1	nursecharting	1	1	1
vitals	103091	693	nursecharting	63330	89666	103091
glucose_check	3145	307	nursecharting	1742	2569	3145
skin_braden_pressure	10	2	nursecharting	9	10	10
vitals	92626	596	nursecharting	54623	79036	92626
delirium_orientation	1	1	nursecharting	1	1	1
glucose_check	3415	326	nursecharting	1794	2819	3415
vitals	101615	617	nursecharting	57708	85096	101615
glucose_check	3626	356	nursecharting	2000	2978	3626
skin_braden_pressure	1	1	nursecharting	0	0	1
vitals	100183	666	nursecharting	59836	85966	100183
glucose_check	3319	326	nursecharting	1922	2781	3319
skin_braden_pressure	1	1	nursecharting	1	1	1
vitals	97710	639	nursecharting	58320	83027	97710
glucose_check	3416	296	nursecharting	1806	2790	3416
skin_braden_pressure	2	2	nursecharting	2	2	2
vitals	87678	550	nursecharting	51673	74254	87678
glucose_check	2867	311	nursecharting	1613	2385	2867
vitals	91537	588	nursecharting	53938	78112	91537
glucose_check	3267	309	nursecharting	1839	2688	3267
vitals	95898	604	nursecharting	55039	80509	95898
delirium_orientation	1	1	nursecharting	0	1	1
glucose_check	3643	337	nursecharting	1927	2989	3643
skin_braden_pressure	4	4	nursecharting	4	4	4
vitals	102683	618	nursecharting	57821	86029	102683
delirium_orientation	1	1	nursecharting	1	1	1
glucose_check	3477	348	nursecharting	1894	2901	3477
skin_braden_pressure	2	2	nursecharting	2	2	2
vitals	97312	665	nursecharting	59091	84165	97312
glucose_check	3408	335	nursecharting	1961	2828	3408
skin_braden_pressure	1	1	nursecharting	0	0	1
vitals	101097	649	nursecharting	59664	86632	101097
glucose_check	2835	276	nursecharting	1495	2277	2835
vitals	86588	566	nursecharting	51009	72951	86588
delirium_orientation	2130	204	nursecharting	1138	1710	2130
glucose_check	1531	153	nursecharting	863	1266	1531
pain	8910	252	nursecharting	4295	6896	8910
rass_sedation	13109	260	nursecharting	6206	10277	13109
vitals	84738	543	nursecharting	46280	70091	84738
delirium_orientation	4141	382	nursecharting	2231	3397	4141
glucose_check	2	2	nursecharting	0	1	2
pain	15202	449	nursecharting	6907	11481	15202
rass_sedation	22928	473	nursecharting	10736	17779	22928
vitals	70329	478	nursecharting	35543	56803	70329
delirium_orientation	4152	390	nursecharting	2115	3353	4152
glucose_check	3	3	nursecharting	1	3	3
pain	15293	471	nursecharting	6939	11750	15293
rass_sedation	23974	498	nursecharting	11250	18695	23974
vitals	73628	502	nursecharting	37676	59563	73628
delirium_orientation	4422	407	nursecharting	2352	3642	4422
glucose_check	5	4	nursecharting	4	5	5
pain	15383	491	nursecharting	7244	11942	15383
rass_sedation	24483	516	nursecharting	11645	19230	24483
vitals	75837	532	nursecharting	39301	61630	75837
delirium_orientation	3612	329	nursecharting	1819	2881	3612
glucose_check	1	1	nursecharting	1	1	1
pain	13844	380	nursecharting	6171	10640	13844
rass_sedation	20842	400	nursecharting	9448	16093	20842
vitals	65638	406	nursecharting	32068	52031	65638
delirium_orientation	1696	184	nursecharting	915	1397	1696
glucose_check	339	97	nursecharting	204	292	339
pain	2249	80	nursecharting	967	1724	2249
rass_sedation	18796	252	nursecharting	9508	15107	18796
vitals	48022	347	nursecharting	26042	39829	48022
delirium_orientation	1324	146	nursecharting	626	1014	1324
glucose_check	445	121	nursecharting	270	373	445
pain	148	24	nursecharting	67	111	148
rass_sedation	18886	225	nursecharting	10014	15393	18886
vitals	45427	320	nursecharting	24634	37398	45427
delirium_orientation	1432	162	nursecharting	701	1171	1432
glucose_check	447	106	nursecharting	239	371	447
pain	266	27	nursecharting	127	200	266
rass_sedation	17481	216	nursecharting	9057	14343	17481
vitals	40612	295	nursecharting	21573	33258	40612
delirium_orientation	2987	311	nursecharting	1460	2386	2987
glucose_check	3274	272	nursecharting	1477	2510	3274
pain	1863	201	nursecharting	1021	1572	1863
rass_sedation	14173	309	nursecharting	6658	11160	14173
vitals	66858	513	nursecharting	33886	53678	66858
delirium_orientation	4168	423	nursecharting	2054	3328	4168
glucose_check	5169	368	nursecharting	2154	3844	5169
pain	2480	292	nursecharting	1302	2112	2480
rass_sedation	12008	373	nursecharting	5738	9471	12008
vitals	80549	642	nursecharting	39918	64895	80549
delirium_orientation	4578	466	nursecharting	2202	3675	4578
glucose_check	6296	428	nursecharting	2605	4755	6296
pain	2827	337	nursecharting	1431	2335	2827
rass_sedation	13520	396	nursecharting	6063	10638	13520
vitals	92455	726	nursecharting	45850	74554	92455
delirium_orientation	1109	117	nursecharting	567	898	1109
glucose_check	3925	282	nursecharting	1667	2967	3925
pain	726	83	nursecharting	340	570	726
rass_sedation	10102	350	nursecharting	4631	7808	10102
vitals	69984	538	nursecharting	33546	54883	69984
glucose_check	2999	214	nursecharting	1339	2308	2999
pain	1	1	nursecharting	1	1	1
rass_sedation	7702	293	nursecharting	3713	6017	7702
vitals	56816	431	nursecharting	27320	44454	56816
glucose_check	3899	276	nursecharting	1670	2942	3899
rass_sedation	9070	354	nursecharting	4349	7232	9070
vitals	67159	493	nursecharting	32650	52765	67159
glucose_check	3611	260	nursecharting	1594	2745	3611
pain	1	1	nursecharting	0	0	1
rass_sedation	8684	338	nursecharting	4314	6923	8684
vitals	63266	471	nursecharting	30980	49648	63266
glucose_check	3782	278	nursecharting	1622	2835	3782
rass_sedation	8824	338	nursecharting	4282	6977	8824
vitals	67618	487	nursecharting	32363	52983	67618
glucose_check	3715	268	nursecharting	1771	2976	3715
rass_sedation	8440	338	nursecharting	4184	6716	8440
vitals	63848	479	nursecharting	32419	50847	63848
delirium_orientation	676	76	nursecharting	262	486	676
glucose_check	570	45	nursecharting	263	453	570
pain	5797	286	nursecharting	2331	4229	5797
rass_sedation	8383	262	nursecharting	4163	6791	8383
vitals	144655	1858	nursecharting	81184	128575	144655
delirium_orientation	2980	257	nursecharting	1534	2420	2980
glucose_check	2619	547	nursecharting	1184	2010	2619
pain	1695	84	nursecharting	774	1280	1695
rass_sedation	8458	309	nursecharting	4236	6798	8458
vitals	117942	1529	nursecharting	63557	100003	117942
delirium_orientation	1592	140	nursecharting	842	1294	1592
glucose_check	2035	372	nursecharting	926	1556	2035
pain	2478	186	nursecharting	967	1779	2478
rass_sedation	4336	156	nursecharting	2141	3436	4336
vitals	85105	785	nursecharting	41752	67271	85105
glucose_check	532	33	nursecharting	238	423	532
pain	5060	342	nursecharting	1973	3694	5060
rass_sedation	124	34	nursecharting	64	102	124
vitals	73512	442	nursecharting	35084	57482	73512
delirium_orientation	188	14	nursecharting	66	130	188
glucose_check	342	23	nursecharting	118	242	342
pain	4791	368	nursecharting	1865	3413	4791
rass_sedation	562	59	nursecharting	253	434	562
vitals	71452	454	nursecharting	34293	56553	71452
delirium_orientation	4628	410	nursecharting	1914	3412	4628
pain	3933	380	nursecharting	1623	2948	3933
rass_sedation	8483	424	nursecharting	4411	6891	8483
vitals	86792	511	nursecharting	44868	69569	86792
delirium_orientation	4117	382	nursecharting	1770	3081	4117
pain	3220	343	nursecharting	1307	2440	3220
rass_sedation	6788	369	nursecharting	3424	5512	6788
vitals	77836	474	nursecharting	40868	63210	77836
delirium_orientation	4385	379	nursecharting	1750	3190	4385
pain	3650	362	nursecharting	1558	2778	3650
rass_sedation	6878	378	nursecharting	3480	5572	6878
vitals	79937	488	nursecharting	41935	64818	79937
delirium_orientation	4720	441	nursecharting	2012	3495	4720
pain	3985	384	nursecharting	1660	2960	3985
rass_sedation	8195	435	nursecharting	4377	6696	8195
vitals	88378	544	nursecharting	44755	70432	88378
delirium_orientation	4275	384	nursecharting	1778	3137	4275
pain	3469	367	nursecharting	1487	2589	3469
rass_sedation	8431	422	nursecharting	4268	6715	8431
vitals	90383	528	nursecharting	44404	71711	90383
glucose_check	6	1	nursecharting	6	6	6
pain	564	167	nursecharting	275	454	564
rass_sedation	9068	377	nursecharting	4137	7045	9068
vitals	70486	400	nursecharting	35140	56093	70486
glucose_check	2	1	nursecharting	1	2	2
pain	486	148	nursecharting	237	406	486
rass_sedation	9386	391	nursecharting	4609	7421	9386
vitals	69184	409	nursecharting	35255	55395	69184
glucose_check	2	2	nursecharting	0	0	2
pain	496	139	nursecharting	235	398	496
rass_sedation	8435	344	nursecharting	3881	6544	8435
vitals	68468	356	nursecharting	33675	53442	68468
glucose_check	1	1	nursecharting	0	0	1
pain	502	154	nursecharting	242	400	502
rass_sedation	9906	381	nursecharting	4485	7677	9906
vitals	73520	397	nursecharting	36304	58133	73520
pain	499	147	nursecharting	237	401	499
rass_sedation	9454	375	nursecharting	4546	7392	9454
vitals	68373	393	nursecharting	33813	53669	68373
pain	560	180	nursecharting	290	460	560
rass_sedation	9524	393	nursecharting	4747	7467	9524
vitals	70159	410	nursecharting	36051	55929	70159
glucose_check	2	2	nursecharting	1	2	2
pain	544	160	nursecharting	268	438	544
rass_sedation	9529	372	nursecharting	4493	7421	9529
vitals	67382	391	nursecharting	33342	53369	67382
delirium_orientation	828	93	nursecharting	416	664	828
glucose_check	1205	110	nursecharting	483	872	1205
pain	1996	188	nursecharting	810	1443	1996
rass_sedation	9015	353	nursecharting	4292	7092	9015
vitals	73533	417	nursecharting	35479	57704	73533
delirium_orientation	2316	251	nursecharting	1121	1859	2316
glucose_check	2919	243	nursecharting	1169	2134	2919
pain	4989	238	nursecharting	1734	3463	4989
rass_sedation	8660	302	nursecharting	3919	6718	8660
vitals	74311	409	nursecharting	34885	58154	74311
delirium_orientation	2580	258	nursecharting	1347	2120	2580
glucose_check	3384	307	nursecharting	1301	2436	3384
pain	4835	239	nursecharting	1748	3410	4835
rass_sedation	8821	304	nursecharting	3999	6868	8821
vitals	83382	480	nursecharting	39095	65282	83382
delirium_orientation	2184	244	nursecharting	1130	1774	2184
glucose_check	3136	274	nursecharting	1269	2290	3136
pain	5045	235	nursecharting	1940	3566	5045
rass_sedation	8776	293	nursecharting	4070	6911	8776
vitals	76078	435	nursecharting	34676	58444	76078
delirium_orientation	2295	242	nursecharting	1070	1796	2295
glucose_check	2992	269	nursecharting	1120	2107	2992
pain	4600	235	nursecharting	1779	3359	4600
rass_sedation	8743	290	nursecharting	4014	6876	8743
vitals	76786	420	nursecharting	34992	59025	76786
delirium_orientation	2817	289	nursecharting	1367	2239	2817
glucose_check	3622	308	nursecharting	1434	2620	3622
pain	5369	275	nursecharting	2151	3945	5369
rass_sedation	10596	350	nursecharting	4709	8013	10596
vitals	90413	496	nursecharting	41860	70098	90413
delirium_orientation	2444	252	nursecharting	1287	2000	2444
glucose_check	3102	250	nursecharting	1249	2226	3102
pain	4472	240	nursecharting	1748	3217	4472
rass_sedation	8779	300	nursecharting	3977	6924	8779
vitals	75700	446	nursecharting	35547	58799	75700
delirium_orientation	2366	251	nursecharting	1182	1914	2366
glucose_check	2987	272	nursecharting	1167	2160	2987
pain	5008	248	nursecharting	1812	3489	5008
rass_sedation	9275	321	nursecharting	4091	7182	9275
vitals	80119	461	nursecharting	38223	62510	80119
delirium_orientation	2209	367	nursecharting	1061	1766	2209
glucose_check	2532	218	nursecharting	952	1803	2532
pain	4037	169	nursecharting	1470	2852	4037
rass_sedation	6805	212	nursecharting	2906	5221	6805
skin_braden_pressure	50	19	nursecharting	25	40	50
vitals	94498	1611	nursecharting	45397	74569	94498
delirium_orientation	1028	637	nursecharting	471	791	1028
pain	1	1	nursecharting	0	0	1
skin_braden_pressure	107	59	nursecharting	53	96	107
vitals	118004	4643	nursecharting	64341	97158	118004
