dataset_id	landmark_hours	feature	nonmissing	nonzero	mean	median	p25	p75	max
MIMIC-IV-2.2	24	nursing_mobility_turning_min_valuenum_24h	21002	530	0.04194838586801257	0.0	0.0	0.0	30.0
MIMIC-IV-2.2	24	nursing_moisture_hygiene_min_valuenum_24h	8052	7847	2857.4101908842526	1.0	1.0	1.016	999999.0
MIMIC-IV-2.2	24	nursing_nutrition_min_valuenum_24h	14436	7962	1.0291895261845385	1.0	0.0	1.0	152.0
MIMIC-IV-2.2	24	nursing_oral_suction_airway_min_valuenum_24h	8016	7565	0.9474800399201597	1.0	1.0	1.0	3.0
MIMIC-IV-2.2	24	nursing_orientation_min_valuenum_24h	21136	492	0.04968300529901589	0.0	0.0	0.0	56.9
MIMIC-IV-2.2	24	nursing_pain_min_valuenum_24h	19513	5748	0.508917132168298	0.0	0.0	1.0	10.0
MIMIC-IV-2.2	24	nursing_rass_sedation_min_valuenum_24h	18165	11459	-1.9660886319845858	-1.0	-4.0	0.0	5.0
MIMIC-IV-2.2	24	nursing_restraints_min_valuenum_24h	46	19	0.41304347826086957	0.0	0.0	1.0	1.0
MIMIC-IV-2.2	24	nursing_skin_braden_pressure_min_valuenum_24h	21095	9660	0.47795449158568387	0.0	0.0	1.0	3.0
MIMIC-IV-2.2	24	nursing_vitals_min_valuenum_24h	21112	12335	5.935409388025768	8.0	0.0	13.0	59.0
MIMIC-IV-2.2	24	nursing_cam_icu_delirium_max_valuenum_24h	14112	5594	0.39640022675736963	0.0	0.0	1.0	1.0
MIMIC-IV-2.2	24	nursing_glucose_check_max_valuenum_24h	21035	21035	655.8885666745899	164.0	131.0	205.0	999999.0
MIMIC-IV-2.2	24	nursing_mobility_turning_max_valuenum_24h	21002	13263	3.1778054471002757	1.0	0.0	2.0	319.0
MIMIC-IV-2.2	24	nursing_moisture_hygiene_max_valuenum_24h	8052	8016	2857.434126676602	1.008	1.0	1.019	999999.0
MIMIC-IV-2.2	24	nursing_nutrition_max_valuenum_24h	14436	8525	2.5843938764200614	1.0	0.0	1.0	152.0
MIMIC-IV-2.2	24	nursing_oral_suction_airway_max_valuenum_24h	8016	7918	1.0194610778443114	1.0	1.0	1.0	4.0
MIMIC-IV-2.2	24	nursing_orientation_max_valuenum_24h	21136	20791	1214.4148249432249	14.0	12.0	16.9	999999.0
MIMIC-IV-2.2	24	nursing_pain_max_valuenum_24h	19513	14335	3.698098703428484	3.0	0.0	6.0	650.0
MIMIC-IV-2.2	24	nursing_rass_sedation_max_valuenum_24h	18165	9691	1.2227910817506193	1.0	0.0	2.0	7.0
MIMIC-IV-2.2	24	nursing_restraints_max_valuenum_24h	46	26	0.5652173913043478	1.0	0.0	1.0	1.0
MIMIC-IV-2.2	24	nursing_skin_braden_pressure_max_valuenum_24h	21095	21069	3.9399217824128936	4.0	4.0	4.0	111.0
MIMIC-IV-2.2	24	nursing_vitals_max_valuenum_24h	21112	21112	416.07216748768474	160.0	160.0	170.0	1234570.0
MIMIC-IV-2.2	24	nursing_cam_icu_delirium_first_hour_24h	15822	15793	3.8284464669447607	1.898888888888889	0.6056250000000001	5.108263888888889	24.0
MIMIC-IV-2.2	24	nursing_glucose_check_first_hour_24h	21037	21029	3.022610757237249	1.5666666666666669	0.6333333333333333	3.9166666666666665	24.0
MIMIC-IV-2.2	24	nursing_mobility_turning_first_hour_24h	21109	21047	1.5490718808722979	0.9113888888888888	0.4094444444444444	2.1494444444444443	19.8
MIMIC-IV-2.2	24	nursing_moisture_hygiene_first_hour_24h	21094	21063	2.06106570588793	1.1868055555555554	0.5047916666666666	2.916388888888889	23.04055555555556
MIMIC-IV-2.2	24	nursing_nutrition_first_hour_24h	21061	21025	2.066514041224169	1.1733333333333331	0.5163888888888889	2.7625	23.4
MIMIC-IV-2.2	24	nursing_oral_suction_airway_first_hour_24h	18128	18115	5.636991731636757	3.7463888888888888	1.5895833333333336	7.587013888888889	24.0
MIMIC-IV-2.2	24	nursing_orientation_first_hour_24h	21140	20990	1.0518839220014717	0.5166666666666667	0.2211111111111111	1.4268055555555557	19.8
MIMIC-IV-2.2	24	nursing_pain_first_hour_24h	21105	21058	1.6759179499328756	0.9333333333333332	0.4041666666666667	2.339166666666667	22.266666666666666
MIMIC-IV-2.2	24	nursing_rass_sedation_first_hour_24h	18165	18129	2.876953497262746	1.4166666666666667	0.5166666666666667	3.693611111111111	24.0
MIMIC-IV-2.2	24	nursing_restraints_first_hour_24h	10000	9990	4.420322333333333	2.84375	1.1534722222222222	5.458611111111111	24.0
MIMIC-IV-2.2	24	nursing_skin_braden_pressure_first_hour_24h	21105	21066	1.7283917318171051	1.0	0.4666666666666667	2.2919444444444443	22.537777777777777
MIMIC-IV-2.2	24	nursing_vitals_first_hour_24h	21112	20659	1.0316744163403646	0.2666666666666666	0.0833333333333333	1.44875	23.3
MIMIC-IV-2.2	24	nursing_cam_icu_delirium_last_hour_24h	15822	15821	16.99557030295369	18.670277777777777	13.794375	21.766666666666666	24.0
MIMIC-IV-2.2	24	nursing_glucose_check_last_hour_24h	21037	21037	19.05724893441714	20.816666666666663	17.596944444444443	22.633333333333333	24.0
MIMIC-IV-2.2	24	nursing_mobility_turning_last_hour_24h	21109	21109	22.66939654491765	22.97805555555556	22.266666666666666	23.510555555555555	24.0
MIMIC-IV-2.2	24	nursing_moisture_hygiene_last_hour_24h	21094	21094	20.91695521633324	21.76861111111111	20.263888888888886	22.866666666666667	24.0
MIMIC-IV-2.2	24	nursing_nutrition_last_hour_24h	21061	21061	20.44705627568597	21.48583333333333	19.79138888888889	22.68166666666667	24.0
MIMIC-IV-2.2	24	nursing_oral_suction_airway_last_hour_24h	18128	18127	18.964451094684712	21.145972222222227	17.183333333333334	22.565347222222222	24.0
MIMIC-IV-2.2	24	nursing_orientation_last_hour_24h	21140	21140	22.15864598444234	22.6	21.48333333333333	23.38138888888889	24.0
MIMIC-IV-2.2	24	nursing_pain_last_hour_24h	21105	21105	21.86975274421543	22.284166666666668	21.104166666666668	23.183333333333334	24.0
MIMIC-IV-2.2	24	nursing_rass_sedation_last_hour_24h	18165	18165	20.602036532403584	21.6925	20.15	22.815277777777776	24.0
MIMIC-IV-2.2	24	nursing_restraints_last_hour_24h	10000	9999	16.981045666666667	20.61513888888889	10.5	22.899374999999996	24.0
MIMIC-IV-2.2	24	nursing_skin_braden_pressure_last_hour_24h	21105	21105	20.692718510621496	21.889444444444443	19.884444444444444	22.95277777777778	24.0
MIMIC-IV-2.2	24	nursing_vitals_last_hour_24h	21112	21112	23.488593861837398	23.55	23.28333333333333	23.796666666666667	24.0
MIMIC-IV-2.2	24	event_cam_icu_delirium_day_06_22_count_24h	21147	15478	3.566557904194448	4.0	0.0	6.0	38.0
MIMIC-IV-2.2	24	event_cam_icu_delirium_night_22_06_count_24h	21147	7838	1.0587790230292713	0.0	0.0	2.0	24.0
MIMIC-IV-2.2	24	event_glucose_check_day_06_22_count_24h	21147	19042	4.584101763843571	3.0	1.0	6.0	34.0
MIMIC-IV-2.2	24	event_glucose_check_night_22_06_count_24h	21147	20019	2.9013098784697595	2.0	1.0	3.0	24.0
MIMIC-IV-2.2	24	event_medication_infusion_day_06_22_count_24h	21147	21073	30.604199177188253	21.0	10.0	46.0	198.0
MIMIC-IV-2.2	24	event_medication_infusion_night_22_06_count_24h	21147	20172	13.68477798269258	9.0	4.0	19.0	126.0
MIMIC-IV-2.2	24	event_mobility_turning_day_06_22_count_24h	21147	21106	29.659147869674186	30.0	24.0	35.0	105.0
MIMIC-IV-2.2	24	event_mobility_turning_night_22_06_count_24h	21147	20960	15.42838227644583	16.0	12.0	19.0	59.0
MIMIC-IV-2.2	24	event_moisture_hygiene_day_06_22_count_24h	21147	21056	11.149099163001845	11.0	8.0	13.0	57.0
MIMIC-IV-2.2	24	event_moisture_hygiene_night_22_06_count_24h	21147	18869	4.976970728708564	5.0	3.0	7.0	30.0
MIMIC-IV-2.2	24	event_nutrition_day_06_22_count_24h	21147	20994	5.226131366151227	5.0	3.0	6.0	55.0
MIMIC-IV-2.2	24	event_nutrition_night_22_06_count_24h	21147	17791	2.383505934647941	2.0	1.0	3.0	41.0
MIMIC-IV-2.2	24	event_oral_suction_airway_day_06_22_count_24h	21147	17200	5.152598477325389	3.0	1.0	8.0	43.0
MIMIC-IV-2.2	24	event_oral_suction_airway_night_22_06_count_24h	21147	13644	2.372345959237717	2.0	0.0	4.0	24.0
MIMIC-IV-2.2	24	event_orientation_day_06_22_count_24h	21147	21128	29.48356740908876	27.0	19.0	37.0	188.0
MIMIC-IV-2.2	24	event_orientation_night_22_06_count_24h	21147	20867	13.675604104601126	12.0	7.0	18.0	127.0
MIMIC-IV-2.2	24	event_pain_day_06_22_count_24h	21147	21092	33.24537759493072	30.0	19.0	43.0	186.0
MIMIC-IV-2.2	24	event_pain_night_22_06_count_24h	21147	20633	17.20452073580177	15.0	8.0	23.0	120.0
MIMIC-IV-2.2	24	event_rass_sedation_day_06_22_count_24h	21147	18070	5.855535064075283	6.0	4.0	8.0	32.0
MIMIC-IV-2.2	24	event_rass_sedation_night_22_06_count_24h	21147	15559	2.7512176668085306	3.0	0.0	4.0	17.0
MIMIC-IV-2.2	24	event_restraints_day_06_22_count_24h	21147	9742	13.789379108147727	0.0	0.0	22.0	163.0
MIMIC-IV-2.2	24	event_restraints_night_22_06_count_24h	21147	7119	7.309594741570908	0.0	0.0	14.0	133.0
MIMIC-IV-2.2	24	event_skin_braden_pressure_day_06_22_count_24h	21147	21077	25.718541637111645	23.0	17.0	29.0	397.0
MIMIC-IV-2.2	24	event_skin_braden_pressure_night_22_06_count_24h	21147	18413	10.075424410081808	8.0	4.0	14.0	174.0
MIMIC-IV-2.2	24	event_vitals_day_06_22_count_24h	21147	21109	128.62197947699437	117.0	104.0	144.0	3113.0
MIMIC-IV-2.2	24	event_vitals_night_22_06_count_24h	21147	21104	58.46763134250721	53.0	46.0	64.0	2249.0
MIMIC-IV-2.2	24	event_cam_icu_delirium_total_count_24h	21147	15822	4.62533692722372	4.0	0.0	7.0	46.0
MIMIC-IV-2.2	24	event_cam_icu_delirium_night_fraction_24h	15822	7838	0.20627344226084515	0.0	0.0	0.375	1.0
MIMIC-IV-2.2	24	event_glucose_check_total_count_24h	21147	21037	7.485411642313331	5.0	3.0	9.0	52.0
MIMIC-IV-2.2	24	event_glucose_check_night_fraction_24h	21037	20019	0.4350391106122543	0.4	0.3	0.5	1.0
MIMIC-IV-2.2	24	event_medication_infusion_total_count_24h	21147	21105	44.28897715988084	31.0	15.0	66.0	246.0
MIMIC-IV-2.2	24	event_medication_infusion_night_fraction_24h	21105	20172	0.30035534767334743	0.2903225806451613	0.19718309859154928	0.3984375	1.0
MIMIC-IV-2.2	24	event_mobility_turning_total_count_24h	21147	21109	45.08753014612002	45.0	37.0	53.0	117.0
MIMIC-IV-2.2	24	event_mobility_turning_night_fraction_24h	21109	20960	0.34205262758906213	0.34146341463414637	0.28888888888888886	0.4	1.0
MIMIC-IV-2.2	24	event_moisture_hygiene_total_count_24h	21147	21094	16.126069891710408	16.0	12.0	20.0	77.0
MIMIC-IV-2.2	24	event_moisture_hygiene_night_fraction_24h	21094	18869	0.2954964184795211	0.3076923076923077	0.2	0.4	1.0
MIMIC-IV-2.2	24	event_nutrition_total_count_24h	21147	21061	7.609637300799168	7.0	5.0	9.0	59.0
MIMIC-IV-2.2	24	event_nutrition_night_fraction_24h	21061	17791	0.30085717675184853	0.2857142857142857	0.16666666666666666	0.42857142857142855	1.0
MIMIC-IV-2.2	24	event_oral_suction_airway_total_count_24h	21147	18128	7.524944436563106	5.0	1.0	11.0	59.0
MIMIC-IV-2.2	24	event_oral_suction_airway_night_fraction_24h	18128	13644	0.3065782468228049	0.3	0.07142857142857142	0.4444444444444444	1.0
MIMIC-IV-2.2	24	event_orientation_total_count_24h	21147	21140	43.159171513689884	39.0	28.0	52.5	278.0
MIMIC-IV-2.2	24	event_orientation_night_fraction_24h	21140	20867	0.3130849511210359	0.3181818181818182	0.24	0.3888888888888889	1.0
MIMIC-IV-2.2	24	event_pain_total_count_24h	21147	21105	50.449898330732495	45.0	30.0	65.0	242.0
MIMIC-IV-2.2	24	event_pain_night_fraction_24h	21105	20633	0.3358397695644821	0.3333333333333333	0.24193548387096775	0.4270833333333333	1.0
MIMIC-IV-2.2	24	event_rass_sedation_total_count_24h	21147	18165	8.606752730883814	9.0	6.0	12.0	46.0
MIMIC-IV-2.2	24	event_rass_sedation_night_fraction_24h	18165	15559	0.3095352758612333	0.3333333333333333	0.2222222222222222	0.4	1.0
MIMIC-IV-2.2	24	event_restraints_total_count_24h	21147	10000	21.098973849718636	0.0	0.0	36.0	211.0
MIMIC-IV-2.2	24	event_restraints_night_fraction_24h	10000	7119	0.29828090087085185	0.3333333333333333	0.0	0.4444444444444444	1.0
MIMIC-IV-2.2	24	event_skin_braden_pressure_total_count_24h	21147	21105	35.79396604719346	32.0	24.0	41.0	531.0
MIMIC-IV-2.2	24	event_skin_braden_pressure_night_fraction_24h	21105	18413	0.26457077631275866	0.27586206896551724	0.13636363636363635	0.375	1.0
MIMIC-IV-2.2	24	event_vitals_total_count_24h	21147	21112	187.0896108195016	173.0	154.0	207.0	5362.0
MIMIC-IV-2.2	24	event_vitals_night_fraction_24h	21112	21104	0.3141758674687199	0.30666666666666664	0.2753623188405797	0.3493150684931507	1.0
MIMIC-IV-2.2	24	event_all_night_22_06_count_24h	21147	21141	152.290064784603	146.0	114.0	184.0	2297.0
MIMIC-IV-2.2	24	event_all_day_06_22_count_24h	21147	21135	326.65621601172745	314.0	255.0	388.0	3243.0
MIMIC-IV-2.2	24	event_all_total_count_24h	21147	21144	478.9462807963304	464.0	377.0	566.0	5540.0
MIMIC-IV-2.2	24	event_all_night_fraction_24h	21144	21141	0.31769740191630136	0.3139086014483289	0.2730751122700275	0.3591704852719485	1.0
